EXPIRES AT           GROUP     SIZE  PATH
2023-03-19 12:38:31  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpivhw0dd0/tex.cache/62003ca69a68e23d54602aa8fc0a7ddd.dvi
2023-03-19 12:38:33  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmps9sf7oiy/tex.cache/fe399cd2b95d812453e1bb8c49c65972.dvi
2023-03-19 12:38:34  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm1/18/plt/Turb_hdf5_plt_cnt_0080
2023-03-19 12:38:35  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp3275chy1/tex.cache/ee99c03c50db299280fada8fba8add1b.dvi
2023-03-19 12:38:35  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm5/72/plt/Turb_hdf5_plt_cnt_0843
2023-03-19 12:38:37  ek9      96.2M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm125/72/spect/spectra_obj_fixed.pkl
2023-03-19 12:38:46  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpdmtpcl5c/tex.cache/0005c311bc733980167180240b74e554.dvi
2023-03-19 12:38:48  ek9       1.3M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm50/36/plt/Turb_hdf5_plt_cnt_0214
2023-03-19 12:38:49  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/144/plt/Turb_hdf5_plt_cnt_0720
2023-03-19 12:38:52  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/144/plt/Turb_hdf5_plt_cnt_0146
2023-03-19 12:38:58  ek9      28.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm2/72/spect/Turb_hdf5_plt_cnt_0049_spect_mags.dat
2023-03-19 12:39:00  ek9       1.7M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm5/144/shell_calc.out00
2023-03-19 12:39:01  ek9      28.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/72/spect/Turb_hdf5_plt_cnt_0888_spect_mags.dat
2023-03-19 12:39:02  ek9     200.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/18/plt/Turb_hdf5_plt_cnt_0601
2023-03-19 12:39:10  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp_obulj_8/tex.cache/377f4685d0790e3103ac0a2a747a274a.dvi
2023-03-19 12:39:12  ek9     100.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/288/spect/Turb_hdf5_plt_cnt_0412_spect_mags.dat
2023-03-19 12:39:14  ek9       8.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm50/18/spect/Turb_hdf5_plt_cnt_0197_spect_vels.dat
